# mzprime m4 sum_w_post_smearing v_mu4 v_4i epsilon u_mu4 chi2 decay_length N_events scatt_det
1.579000e+00 1.343000e-01 9.013114e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.274774e+01 7.000175e+04 9.014016e+01 1.042393e-01
8.751000e-01 1.266000e-02 9.515127e-11 1.000033e-02 1.414189e-02 1.000000e-02 9.999827e-03 3.180092e+01 9.076308e+08 9.515749e-03 9.410339e-02
5.144000e-02 1.125000e-02 9.145268e-02 1.000045e-02 1.414207e-02 1.000000e-02 9.999951e-03 3.271099e+02 1.906561e+04 9.146093e+06 1.800083e-02
2.687000e-01 4.375000e-01 1.853901e-03 1.000031e-02 1.414186e-02 1.000000e-02 9.999806e-03 3.120670e+02 2.513563e-08 1.854014e+05 1.000000e+00
2.122000e-01 2.285000e-02 2.036955e-04 1.000046e-02 1.414208e-02 1.000000e-02 9.999961e-03 2.071788e+02 1.604140e+05 2.037143e+04 4.692777e-02
7.330000e-02 8.886000e-01 1.131112e-03 1.000031e-02 1.414187e-02 1.000000e-02 9.999811e-03 3.008644e+02 1.519330e-10 1.131183e+05 1.000000e+00
2.388000e-01 1.343000e-01 3.560998e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.267571e+02 2.958077e+01 3.561354e+06 9.890156e-01
2.122000e-01 3.070000e-01 7.663753e-03 1.000032e-02 1.414188e-02 1.000000e-02 9.999820e-03 3.215546e+02 5.788644e-08 7.664243e+05 1.000000e+00
1.176000e-01 5.878000e-02 3.532080e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.276431e+02 1.139371e+02 3.532433e+07 3.693988e-01
1.489000e-01 3.888000e-01 2.558067e-02 1.000030e-02 1.414186e-02 1.000000e-02 9.999802e-03 3.269932e+02 7.946192e-09 2.558221e+06 1.000000e+00
1.675000e-01 1.194000e-01 1.216486e-01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.274593e+02 1.088608e+01 1.216608e+07 9.997273e-01
2.850000e-02 4.125000e-02 1.224063e+01 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.277283e+02 4.299367e-07 1.224186e+09 1.000000e+00
1.675000e-01 8.886000e-01 4.218820e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.285815e+02 7.961718e-10 4.219242e+04 1.000000e+00
1.323000e-01 1.805000e-02 1.749388e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.035710e+02 7.873003e+04 1.749563e+05 3.435668e-02
1.403000e+00 7.017000e-01 2.304783e-06 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 2.999202e+01 9.526049e+00 2.305013e+02 1.000000e+00
2.000000e+00 2.424000e-01 1.816006e-06 1.000049e-02 1.414212e-02 1.000000e-02 9.999991e-03 1.592231e+01 9.371336e+03 1.816184e+02 1.134208e-01
1.403000e+00 5.878000e-02 2.280922e-08 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.154267e+01 2.727162e+06 2.281150e+00 1.033509e-01
8.249000e-02 4.125000e-02 1.106147e+00 1.000047e-02 1.414209e-02 1.000000e-02 9.999967e-03 3.277001e+02 1.622918e+02 1.106250e+08 1.737716e-01
1.045000e-01 7.897000e-01 2.153656e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.135658e+02 4.402989e-10 2.153871e+05 1.000000e+00
1.045000e-01 1.000000e+00 3.097275e-04 1.000047e-02 1.414210e-02 1.000000e-02 9.999975e-03 2.312537e+02 2.167104e-10 3.097569e+04 1.000000e+00
3.829000e-01 3.455000e-01 1.659116e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.139220e+02 9.854967e-01 1.659282e+05 1.000000e+00
1.247000e+00 6.615000e-02 1.141368e-07 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.053128e+01 9.418488e+05 1.141482e+01 1.017234e-01
2.533000e-02 9.427000e-02 5.829522e-08 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 1.542228e+12 5.829522e-20 1.106988e-02
1.489000e-01 7.017000e-01 2.677815e-03 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.133766e+02 1.280530e-09 2.678082e+05 1.000000e+00
4.062000e-02 4.924000e-01 5.142433e-08 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 2.741993e+10 5.142433e-20 1.678965e-02
2.000000e-02 5.541000e-01 7.563869e-02 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 3.274935e+02 4.663984e-11 7.564626e+06 1.000000e+00
1.579000e+00 1.701000e-01 2.817683e-06 1.000036e-02 1.414194e-02 1.000000e-02 9.999859e-03 1.059083e+01 2.142278e+04 2.817886e+02 1.031093e-01
3.829000e-01 6.236000e-01 2.118159e-04 1.000050e-02 1.414214e-02 1.000000e-02 1.000000e-02 1.357254e+02 1.761743e-08 2.118371e+04 1.000000e+00
4.062000e-02 6.615000e-02 1.139876e-09 1.000000e-12 1.414214e-12 1.000000e-02 1.000000e-12 3.180203e+01 1.661242e+13 1.139876e-21 1.594207e-02
